#不要报考太原师范学院#顶上去，坚持到高考结束 ?
大家如何看待太原师范学院「女生自述遭受室友的校园暴力」事件？ ?? 网页链接 来源：@知乎 ?
"#太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原师范学院#最新消息嘞？ 汕头 ?
"//@壹威Ewei:太原师范学院也在坟上//@小羊囝:果然好的学校都建在坟上,#清华大学发现古墓#【清华校内发现87座明清墓】5月31日，清华大学校园内施工现场发现一片古墓，这一消息目前已在清华师生朋友圈中刷屏，很多同学正在傍晚休息时间赶去观看。有意思的是，这片古墓正好是在清华大学出土文物中心的附近发现的。据已经观看的同学称，发现古墓的地方紧邻校园内人流密集的第 ?  展开全文,#清华大学发现古墓#【清华校内发现87座明清墓】5月31日，清华大学校园内施工现场发现一片古墓，这一消息目前已在清华师生朋友圈中刷屏，很多同学正在傍晚休息时间赶去观看。有意思的是，这片古墓正好是在清华大学出土文物中心的附近发现的。据已经观看的同学称，发现古墓的地方紧邻校园内人流密集的第六教学楼，现场可以看到探方和墓坑中的人骨。目前校内后勤官网上也看到发现基建规划处发布的关于这一考古发现的相关信息。据现场工作人员介绍，此次考古发掘是按计划进行的，除了骸骨外还有铜钱等物品被发现。这次共发现了87座明清墓，还有5座汉墓（发掘工作还未结束，精确数字有待进一步发现核实）。不过由于没有暂未发现陪葬品，具体考古价值大小还有待确认。这并不是清华园中第一次发现古墓。#清华大学古墓为平民墓葬# ?（北京青年报记者 雷嘉）网页链接 收起全文"
"#太原师范回应 未发生暴力行为# 不得不说，你真恶心@太原师范学院-,分享图片 晋中·太原师范学院 ?"
"被舍友搞得快精神衰弱了怎么办。混淆黑白的人去别人面前一哭，就有很多人来安慰。那我一肚子委屈该怎么办……除了没有太原事件的扒衣 其余的我都经历过了。真的绝望。大学的意义，就是磨灭掉你的积极心态，你的热情，你对生活的渴望吗？？？那这样愚昧的世界谁来拯救…… ?  展开全文,被舍友搞得快精神衰弱了怎么办。混淆黑白的人去别人面前一哭，就有很多人来安慰。那我一肚子委屈该怎么办……除了没有太原事件的扒衣 其余的我都经历过了。真的绝望。大学的意义，就是磨灭掉你的积极心态，你的热情，你对生活的渴望吗？？？那这样愚昧的世界谁来拯救……#太原师范回应 未发生暴力行为##太原师范学院##如何处理与舍友的矛盾# 收起全文"
"//@泥好泥土豆泥:#太师校园暴力##太师校园暴力##太原师范校园暴力##太原师范校园暴力#  新话题！这两个都顶！加油！扩散！！！ 阅读量和讨论量都得up！！up！！up！！ #不要报考太原师范学院##李梓瑶##李梓瑶 赵湘# ? ???,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"//@盖盖Grace:#太原师范学院 李梓瑶# #太原师范学院声明是假的# #太原师范回应 未发生暴力行为# #瑶瑶最爱社会瑶# #李梓瑶申请贫困补助# #太原师范学院 李梓瑶#,抱歉，此微博已被作者删除。查看帮助：网页链接"
"#校园霸凌##瑶湘呼应##太原师范学院#我是来帮忙的自费水军,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"#校园霸凌##瑶湘呼应##太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"#太原师范学院回应 未发生暴力行为#,太原师范回应未发生暴力行为，什么叫不存在拍摄然后下一句又视频仅发至本宿舍群？ ?"
【亮仔说法】今日太原师范学院上了微博热搜，事情起源于一位大二女学生对舍友的欺凌事件。而在这件事情引起的 太原师范学院上热搜，学生会主席霸凌舍友，校方让受害者别声张 ∥，学校犯了官僚主义，思维。不去处理事，反而去处理原告 网页链接 ?
#2019年高考注意事项#千万记住不要报太原师范学院 ?
【亮仔说法】今日太原师范学院上了微博热搜，事情起源于一位大二女学生对舍友的欺凌事件。而在这件事情引起的 太原师范学院上热搜，学生会主席霸凌舍友，校方让受害者别声张 @太原师范学院- 睁眼说瞎话的学校 网页链接 ?
"//@烂烂小番茄:#太原师范学院# #太师校园暴力#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"#太原师范学院# 大二女生称遭室友侮辱恐吓 被威胁录制裸露视频  校方回应】5月29日，太原师范学院一大二学生爆料称，遭室友侮辱恐吓，被起“潘金莲”外号，遭身体攻击，室友还多次胁迫扒自己衣服并录制视频传网上。30日，太原师范学院党委办公室对 @时间视频 称，已关注到此事正调查处理#微博＋助农#,【大二女生称遭室友侮辱恐吓 被威胁录制裸露视频  校方回应】5月29日，太原师范学院一大二学生爆料称，遭室友侮辱恐吓，被起“潘金莲”外号，遭身体攻击，室友还多次胁迫扒自己衣服并录制视频传网上。30日，太原师范学院党委办公室对 @时间视频 称，已关注到此事，正调查处理。时间视频的秒拍视频 ?"
